"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2025","181.20","185.42","186.84","175.90","40.57M","-5.18%"
"04/09/2025","191.10","172.12","192.65","169.93","116.80M","11.98%"
"04/08/2025","170.66","185.23","185.90","168.57","87.71M","-2.62%"
"04/07/2025","175.26","162.00","183.41","161.38","109.33M","2.49%"
"04/04/2025","171.00","167.15","178.14","166.00","123.16M","-4.15%"
"04/03/2025","178.41","182.99","184.13","176.92","95.55M","-8.98%"
"04/02/2025","196.01","187.66","198.34","187.66","53.68M","2.00%"
"04/01/2025","192.17","187.86","193.93","187.20","41.27M","1.00%"
"03/31/2025","190.26","188.19","191.33","184.40","63.55M","-1.28%"
"03/28/2025","192.72","198.42","199.26","191.88","52.55M","-4.29%"
"03/27/2025","201.36","200.89","203.79","199.28","27.32M","0.11%"
"03/26/2025","201.13","205.84","206.01","199.93","32.99M","-2.23%"
"03/25/2025","205.71","203.60","206.21","203.22","31.17M","1.21%"
"03/24/2025","203.26","200.00","203.64","199.95","41.63M","3.59%"
"03/21/2025","196.21","192.90","196.99","192.52","60.06M","0.65%"
"03/20/2025","194.95","193.07","199.32","192.30","38.92M","-0.30%"
"03/19/2025","195.54","193.38","195.96","191.96","39.44M","1.41%"
"03/18/2025","192.82","192.52","194.00","189.38","40.41M","-1.49%"
"03/17/2025","195.74","198.77","199.00","194.32","47.34M","-1.12%"
"03/14/2025","197.95","197.41","198.65","195.32","38.10M","2.09%"
"03/13/2025","193.89","198.16","198.88","191.82","41.27M","-2.51%"
"03/12/2025","198.89","200.72","201.52","195.29","43.68M","1.17%"
"03/11/2025","196.59","193.90","200.18","193.40","54.00M","1.05%"
"03/10/2025","194.54","195.60","196.73","190.85","62.35M","-2.36%"
